"id";"line";"country";"code";"localityFR";"localityNL";"created_at";"updated_at"
134;134;"BE";"1435";"MONT-SAINT-GUIBERT";"MONT-SAINT-GUIBERT";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
135;135;"BE";"1440";"BRAINE-LE-CHÂTEAU";"BRAINE-LE-CHÂTEAU";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
136;136;"BE";"1440";"Wauthier-Braine";"Wauthier-Braine";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
137;137;"BE";"1450";"CHASTRE";"CHASTRE";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
138;138;"BE";"1450";"Chastre-Villeroux-Blanmont";"Chastre-Villeroux-Blanmont";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
139;139;"BE";"1450";"Cortil-Noirmont";"Cortil-Noirmont";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
140;140;"BE";"1450";"Gentinnes";"Gentinnes";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
141;141;"BE";"1450";"Saint-Géry";"Saint-Géry";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
142;142;"BE";"1457";"Nil-Saint-Vincent-Saint-Martin";"Nil-Saint-Vincent-Saint-Martin";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
143;143;"BE";"1457";"Tourinnes-Saint-Lambert";"Tourinnes-Saint-Lambert";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
144;144;"BE";"1457";"WALHAIN";"WALHAIN";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
145;145;"BE";"1457";"Walhain-Saint-Paul";"Walhain-Saint-Paul";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
146;146;"BE";"1460";"ITTRE";"ITTRE";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
147;147;"BE";"1460";"Virginal-Samme";"Virginal-Samme";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
148;148;"BE";"1461";"Haut-Ittre";"Haut-Ittre";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
149;149;"BE";"1470";"Baisy-Thy";"Baisy-Thy";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
150;150;"BE";"1470";"Bousval";"Bousval";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
151;151;"BE";"1470";"GENAPPE";"GENAPPE";"2018-07-25 09:00:39";"2018-07-25 09:01:29"
152;152;"BE";"1471";"Loupoigne";"Loupoigne";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
153;153;"BE";"1472";"Vieux-Genappe";"Vieux-Genappe";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
154;154;"BE";"1473";"Glabais";"Glabais";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
155;155;"BE";"1474";"Ways";"Ways";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
156;156;"BE";"1476";"Houtain-Le-Val";"Houtain-Le-Val";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
157;157;"BE";"1480";"Clabecq";"Clabecq";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
158;158;"BE";"1480";"Oisquercq";"Oisquercq";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
159;159;"BE";"1480";"Saintes";"Saintes";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
160;160;"BE";"1480";"TUBIZE";"TUBIZE";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
161;161;"BE";"1490";"COURT-SAINT-ETIENNE";"COURT-SAINT-ETIENNE";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
162;162;"BE";"1495";"Marbais";"Marbais";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
163;163;"BE";"1495";"Mellery";"Mellery";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
164;164;"BE";"1495";"Sart-Dames-Avelines";"Sart-Dames-Avelines";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
165;165;"BE";"1495";"Tilly";"Tilly";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
166;166;"BE";"1495";"VILLERS-LA-VILLE";"VILLERS-LA-VILLE";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
167;167;"BE";"1500";"HALLE";"HALLE";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
168;168;"BE";"1501";"Buizingen";"Buizingen";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
169;169;"BE";"1502";"Lembeek";"Lembeek";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
170;170;"BE";"1540";"Herfelingen";"Herfelingen";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
171;171;"BE";"1540";"HERNE";"HERNE";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
172;172;"BE";"1541";"Sint-Pieters-Kapelle";"Sint-Pieters-Kapelle";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
173;173;"BE";"1547";"BIÉVÈNE";"BEVER";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
174;174;"BE";"1560";"HOEILAART";"HOEILAART";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
175;175;"BE";"1570";"GALMAARDEN";"GALMAARDEN";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
176;176;"BE";"1570";"Tollembeek";"Tollembeek";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
177;177;"BE";"1570";"Vollezele";"Vollezele";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
178;178;"BE";"1600";"Oudenaken";"Oudenaken";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
179;179;"BE";"1600";"Sint-Laureins-Berchem";"Sint-Laureins-Berchem";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
180;180;"BE";"1600";"SINT-PIETERS-LEEUW";"SINT-PIETERS-LEEUW";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
181;181;"BE";"1601";"Ruisbroek";"Ruisbroek";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
182;182;"BE";"1602";"Vlezenbeek";"Vlezenbeek";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
183;183;"BE";"1620";"DROGENBOS";"DROGENBOS";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
184;184;"BE";"1630";"LINKEBEEK";"LINKEBEEK";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
185;185;"BE";"1640";"RHODE-SAINT-GENÈSE";"SINT-GENESIUS-RODE";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
186;186;"BE";"1650";"BEERSEL";"BEERSEL";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
187;187;"BE";"1651";"Lot";"Lot";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
188;188;"BE";"1652";"Alsemberg";"Alsemberg";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
189;189;"BE";"1653";"Dworp";"Dworp";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
190;190;"BE";"1654";"Huizingen";"Huizingen";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
191;191;"BE";"1670";"Bogaarden";"Bogaarden";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
192;192;"BE";"1670";"Heikruis";"Heikruis";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
193;193;"BE";"1670";"PEPINGEN";"PEPINGEN";"2018-07-25 09:00:39";"2018-07-25 09:01:30"
